Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,112.500000,114.500000,112.000000,112.000000,105.362648,17545100
2019-11-01,113.000000,114.500000,112.000000,112.000000,105.362648,10584800
2019-11-04,113.000000,115.500000,112.500000,115.000000,108.184860,7043200
2019-11-05,116.500000,116.500000,115.000000,116.500000,109.595963,8449100
2019-11-06,116.500000,118.000000,115.000000,117.000000,110.066338,13370600
2019-11-07,116.000000,119.000000,115.000000,119.000000,111.947807,12850600
2019-11-08,119.000000,119.500000,117.500000,118.500000,111.477440,9080700
2019-11-11,117.000000,118.500000,115.500000,115.500000,108.655228,11134900
2019-11-12,116.000000,118.500000,115.500000,118.000000,111.007072,6788200
2019-11-13,118.000000,118.500000,116.500000,118.000000,111.007072,5693000
2019-11-14,118.000000,118.000000,116.000000,117.000000,110.066338,6634600
2019-11-15,117.500000,118.000000,116.500000,117.500000,110.536705,4361100
2019-11-18,117.500000,117.500000,113.500000,117.000000,110.066338,12818900
2019-11-19,115.500000,117.000000,115.500000,116.000000,109.125595,6377200
2019-11-20,115.000000,117.000000,115.000000,116.000000,109.125595,5672500
2019-11-21,115.500000,117.000000,115.000000,117.000000,110.066338,4852700
2019-11-22,118.000000,119.500000,117.000000,118.000000,111.007072,11287500
2019-11-25,119.000000,121.000000,119.000000,120.500000,113.358917,8221300
2019-11-26,120.500000,121.000000,118.000000,118.000000,111.007072,8641700
2019-11-27,118.500000,120.500000,118.000000,120.500000,113.358917,6598900
2019-11-28,121.000000,122.000000,120.000000,121.500000,114.299652,7663700
2019-11-29,121.500000,122.000000,119.500000,121.000000,113.829285,6157100
2019-12-02,120.500000,121.000000,118.000000,120.000000,112.888550,6513900
2019-12-03,120.000000,121.000000,119.500000,120.000000,112.888550,5222800
2019-12-04,118.500000,119.500000,117.500000,118.000000,111.007072,9239400
2019-12-06,118.000000,119.000000,116.500000,117.500000,110.536705,7787400
2019-12-09,117.000000,118.000000,116.500000,118.000000,111.007072,4267800
2019-12-11,117.500000,118.000000,115.500000,117.500000,110.536705,8086300
2019-12-12,118.000000,119.000000,116.500000,118.500000,111.477440,11328900
2019-12-13,120.000000,121.000000,119.000000,121.000000,113.829285,11126000
2019-12-16,120.000000,120.500000,118.000000,118.000000,111.007072,4231100
2019-12-17,118.000000,121.000000,117.500000,120.500000,113.358917,8860400
2019-12-18,121.000000,122.500000,120.500000,121.500000,114.299652,9509600
2019-12-19,121.000000,123.000000,120.500000,122.500000,115.240395,9259100
2019-12-20,122.500000,122.500000,119.500000,120.000000,112.888550,10709200
2019-12-23,120.000000,121.000000,118.000000,119.000000,111.947807,8164500
2019-12-24,119.500000,120.000000,117.000000,118.500000,111.477440,8808800
2019-12-25,118.000000,120.000000,117.500000,119.500000,112.418182,3841600
2019-12-26,119.500000,120.000000,118.000000,119.000000,111.947807,5294900
2019-12-27,120.000000,120.000000,118.500000,119.500000,112.418182,5586000
2019-12-30,119.500000,122.500000,119.000000,122.000000,114.770027,7955700
2020-01-02,122.000000,122.500000,121.500000,122.500000,115.240395,3938300
2020-01-03,121.500000,122.500000,120.000000,120.500000,113.358917,7975600
2020-01-06,119.000000,119.000000,115.000000,116.500000,109.595963,13906700
2020-01-07,117.500000,118.500000,114.500000,116.000000,109.125595,11296300
2020-01-08,114.000000,115.000000,113.500000,114.000000,107.244125,9547100
2020-01-09,115.000000,115.500000,113.500000,114.000000,107.244125,9530400
2020-01-10,115.000000,115.000000,113.500000,114.500000,107.714493,6092700
2020-01-13,115.000000,115.500000,113.500000,114.500000,107.714493,4744600
2020-01-14,114.000000,115.000000,113.500000,113.500000,106.773750,4364100
2020-01-15,113.000000,114.500000,113.000000,114.000000,107.244125,5336600
2020-01-16,114.500000,118.000000,114.500000,118.000000,111.007072,12505300
2020-01-17,119.000000,119.500000,117.000000,117.000000,110.066338,8272100
2020-01-20,104.000000,106.000000,102.000000,102.000000,95.955261,98777300
2020-01-21,103.000000,104.000000,100.000000,100.500000,94.544159,41212400
2020-01-22,100.500000,101.000000,99.500000,99.750000,93.838600,29898100
2020-01-23,99.500000,101.000000,99.000000,99.000000,93.133049,20577000
2020-01-24,100.000000,101.000000,99.000000,99.750000,93.838600,21179000
2020-01-27,99.500000,99.750000,98.000000,98.000000,92.192314,18320400
2020-01-28,97.750000,98.750000,97.500000,97.500000,91.721939,14182100
2020-01-29,98.250000,99.500000,97.500000,99.500000,93.603416,16957400
2020-01-30,98.500000,99.500000,97.500000,99.250000,94.077362,13164400
2020-01-31,99.750000,100.000000,98.000000,98.000000,92.892509,11197600
2020-02-03,97.500000,98.250000,97.000000,97.000000,91.944626,7653500
2020-02-04,97.250000,99.000000,97.250000,99.000000,93.840385,7414700
2020-02-05,99.000000,99.000000,97.250000,98.000000,92.892509,11943000
2020-02-06,98.250000,101.000000,97.500000,100.500000,95.262215,19626200
2020-02-07,101.500000,102.000000,99.750000,100.500000,95.262215,18148800
2020-02-11,100.000000,100.500000,97.500000,97.500000,92.418564,14949500
2020-02-12,98.000000,103.000000,97.750000,101.000000,95.736153,24203700
2020-02-13,101.500000,101.500000,99.500000,100.000000,94.788269,12023600
2020-02-14,101.000000,101.000000,99.250000,99.750000,94.551300,8046100
2020-02-17,99.750000,101.000000,99.250000,100.000000,94.788269,7348400
2020-02-18,99.500000,100.500000,98.500000,99.000000,93.840385,10906700
2020-02-19,99.500000,103.000000,99.500000,102.500000,97.157974,33108400
2020-02-20,98.000000,98.750000,97.500000,97.750000,92.655533,37202000
2020-02-21,97.250000,98.500000,96.250000,97.500000,92.418564,20489800
2020-02-24,96.500000,96.750000,93.250000,93.250000,88.390060,19806100
2020-02-25,93.250000,94.250000,92.500000,93.750000,88.864006,14109400
2020-02-26,93.250000,93.750000,86.500000,86.500000,81.991852,29478300
2020-02-27,86.500000,89.750000,86.500000,89.000000,84.361565,16582500
2020-02-28,86.750000,88.000000,86.500000,87.250000,82.702766,16656300
2020-03-02,88.000000,88.500000,84.750000,85.500000,81.043968,30865700
2020-03-03,88.000000,88.250000,85.750000,86.500000,81.991852,20083400
2020-03-04,86.000000,87.250000,85.250000,86.750000,82.228828,11033700
2020-03-05,87.500000,87.500000,86.000000,86.000000,81.517914,13176300
2020-03-06,85.250000,85.250000,82.000000,82.000000,77.726379,19688900
2020-03-09,74.000000,76.000000,72.250000,74.750000,70.854233,21712200
2020-03-10,74.250000,76.750000,74.250000,74.250000,70.380295,21066200
2020-03-11,74.000000,75.500000,73.250000,73.750000,69.906349,13523000
2020-03-12,70.000000,70.250000,65.250000,66.250000,62.797230,37805800
2020-03-13,60.000000,68.250000,58.250000,66.500000,63.034199,37696400
2020-03-16,62.500000,65.750000,62.000000,62.250000,59.005699,13985700
2020-03-17,61.750000,64.000000,61.750000,62.000000,58.768726,15415600
2020-03-18,63.250000,65.250000,61.000000,61.500000,58.294788,17521800
2020-03-19,59.750000,62.500000,59.000000,61.500000,58.294788,10450400
2020-03-20,64.000000,65.000000,62.250000,65.000000,61.612377,23678500
