Num,config,Num_Fe,a1,a2,a3,a4,a5,a6,a7,a8,a9,Etot_htr,dEform_eV,Emca_meV,Damp,  # 0:Fe 1:Co
001,CCCCCCCCC,0,1,1,1,1,1,1,1,1,1,-13643.9158773288,0.000000,0.8803,0.0059593868
002,CCCCCCCCF,1,1,1,1,1,1,1,1,1,0,-13523.2466654015,-0.119632,0.6979,0.0114879840
003,CCCCCCCFC,1,1,1,1,1,1,1,1,0,1,-13523.2528966034,-0.289191,0.8625,0.0133982785
004,CCCCCCCFF,2,1,1,1,1,1,1,1,0,0,-13402.5743131958,-0.153812,1.4326,0.0090738388
005,CCCCCCFCC,1,1,1,1,1,1,1,0,1,1,-13523.2490205579,-0.183719,-0.0732,0.0103120091
006,CCCCCCFCF,2,1,1,1,1,1,1,0,1,0,-13402.5800803859,-0.310745,0.6208,0.0069263412
007,CCCCCCFFC,2,1,1,1,1,1,1,0,0,1,-13402.5822206497,-0.368985,0.3646,0.0078357370
008,CCCCCCFFF,3,1,1,1,1,1,1,0,0,0,-13281.9052387329,-0.277184,1.0569,0.0087828600
009,CCCCCFCCC,1,1,1,1,1,1,0,1,1,1,-13523.2490410300,-0.184276,0.1367,0.0079819308
010,CCCCCFCCF,2,1,1,1,1,1,0,1,1,0,-13402.5805319170,-0.323032,0.2060,0.0096904782
011,CCCCCFCFC,2,1,1,1,1,1,0,1,0,1,-13402.5893439071,-0.562819,0.0452,0.0101198260
012,CCCCCFCFF,3,1,1,1,1,1,0,1,0,0,-13281.9085713651,-0.367870,0.5114,0.0140835043
013,CCCCCFFCC,2,1,1,1,1,1,0,0,1,1,-13402.5784406578,-0.266126,-0.5615,0.0109923820
014,CCCCCFFCF,3,1,1,1,1,1,0,0,1,0,-13281.9082439967,-0.358962,-0.4596,0.0251849720
015,CCCCCFFFC,3,1,1,1,1,1,0,0,0,1,-13281.9107388822,-0.426851,0.5629,0.0126276520
016,CCCCCFFFF,4,1,1,1,1,1,0,0,0,0,-13161.2329645673,-0.313488,0.6164,0.0114570323
017,CCCCFCCCC,1,1,1,1,1,0,1,1,1,1,-13523.2493542435,-0.192799,0.4594,0.0072892336
018,CCCCFCCCF,2,1,1,1,1,0,1,1,1,0,-13402.5811349272,-0.339441,0.7077,0.0061147808
019,CCCCFCCFC,2,1,1,1,1,0,1,1,0,1,-13402.5857619384,-0.465348,-0.5044,0.0155595471
020,CCCCFCCFF,3,1,1,1,1,0,1,1,0,0,-13281.9077227632,-0.344778,0.5802,0.0109217460
021,CCCCFCFCC,2,1,1,1,1,0,1,0,1,1,-13402.5845067841,-0.431194,-0.6352,0.0078538665
022,CCCCFCFCF,3,1,1,1,1,0,1,0,1,0,-13281.9152737557,-0.550251,-0.3621,0.0147180714
023,CCCCFCFFC,3,1,1,1,1,0,1,0,0,1,-13281.9182315679,-0.630738,-0.3079,0.0098687044
024,CCCCFCFFF,4,1,1,1,1,0,1,0,0,0,-13161.2399628051,-0.503920,-0.0892,0.0206328062
025,CCCCFFCCC,2,1,1,1,1,0,0,1,1,1,-13402.5787823892,-0.275425,-0.3681,0.0080893792
026,CCCCFFCCF,3,1,1,1,1,0,0,1,1,0,-13281.9102624039,-0.413885,-0.3587,0.0130287954
027,CCCCFFCFC,3,1,1,1,1,0,0,1,0,1,-13281.9185858079,-0.640377,-0.1987,0.0075359456
028,CCCCFFCFF,4,1,1,1,1,0,0,1,0,0,-13161.2380853391,-0.452832,0.3552,0.0157851518
029,CCCCFFFCC,3,1,1,1,1,0,0,0,1,1,-13281.9086002380,-0.368656,-0.6669,0.0088537838
030,CCCCFFFCF,4,1,1,1,1,0,0,0,1,0,-13161.2382763720,-0.458030,-0.5556,0.0303066243
031,CCCCFFFFC,4,1,1,1,1,0,0,0,0,1,-13161.2398883665,-0.501895,0.3787,0.0158577456
