Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,19.400000,19.500000,19.299999,19.500000,17.036545,23523400
2019-06-17,19.500000,19.600000,19.400000,19.400000,16.949179,25758500
2019-06-18,19.400000,19.400000,19.200001,19.299999,16.861811,38287800
2019-06-19,19.400000,19.500000,19.299999,19.500000,17.036545,22553500
2019-06-20,19.500000,19.600000,19.400000,19.400000,16.949179,40327100
2019-06-21,19.500000,19.600000,19.400000,19.400000,16.949179,54847200
2019-06-24,19.500000,19.600000,19.400000,19.500000,17.036545,16403700
2019-06-25,19.500000,19.700001,19.400000,19.600000,17.123913,27402800
2019-06-26,19.500000,19.600000,19.500000,19.600000,17.123913,34308000
2019-06-27,19.600000,19.700001,19.500000,19.600000,17.123913,19562300
2019-06-28,19.500000,19.600000,19.500000,19.500000,17.036545,15172300
2019-07-01,19.600000,19.799999,19.600000,19.700001,17.211281,36619200
2019-07-02,19.700001,19.700001,19.500000,19.700001,17.211281,18545900
2019-07-03,19.700001,19.700001,19.500000,19.500000,17.036545,22276500
2019-07-04,19.500000,19.600000,19.299999,19.500000,17.036545,36645900
2019-07-05,19.400000,19.500000,19.200001,19.299999,16.861811,18411400
2019-07-08,19.200001,19.299999,19.200001,19.200001,16.774446,6286500
2019-07-09,19.200001,19.299999,19.100000,19.100000,16.687078,20221100
2019-07-10,19.100000,19.500000,19.100000,19.400000,16.949179,17132600
2019-07-11,19.500000,19.500000,19.299999,19.299999,16.861811,11135500
2019-07-12,19.500000,19.600000,19.400000,19.400000,16.949179,20285900
2019-07-15,19.600000,19.600000,19.400000,19.400000,16.949179,11941600
2019-07-17,19.400000,19.600000,19.400000,19.600000,17.123913,16718100
2019-07-18,19.500000,19.600000,19.400000,19.400000,16.949179,12504300
2019-07-19,19.500000,19.600000,19.400000,19.500000,17.036545,21877700
2019-07-22,19.600000,19.900000,19.600000,19.900000,17.386013,76001200
2019-07-23,19.900000,20.000000,19.700001,19.900000,17.386013,71403300
2019-07-24,19.900000,19.900000,19.700001,19.799999,17.298645,22467800
2019-07-25,19.900000,19.900000,19.600000,19.600000,17.123913,26325300
2019-07-26,19.600000,19.700001,19.500000,19.600000,17.123913,17302100
2019-07-30,19.600000,19.700001,19.400000,19.500000,17.036545,16553700
2019-07-31,19.500000,19.700001,19.500000,19.600000,17.123913,16787200
2019-08-01,19.600000,19.600000,19.299999,19.500000,17.036545,30706500
2019-08-02,19.400000,19.400000,19.100000,19.299999,16.861811,42502700
2019-08-05,19.200001,19.299999,19.000000,19.100000,16.687078,18305800
2019-08-06,18.900000,19.100000,18.799999,19.000000,16.599710,24349800
2019-08-07,18.900000,19.000000,18.100000,18.299999,15.988142,75570600
2019-08-08,18.299999,18.400000,17.600000,17.799999,15.551308,63578200
2019-08-09,17.900000,18.299999,17.799999,17.799999,15.551308,28371300
